0,Date,Price,Open,High,Low,Volume,Chg%
670,"Nov 28, 2010",498.23,480.20,507.19,476.68,54.04M,4.53%
671,"Nov 21, 2010",476.66,497.04,504.12,474.65,60.70M,-3.40%
672,"Nov 14, 2010",493.45,528.54,528.94,488.92,38.55M,-6.18%
673,"Nov 07, 2010",525.94,551.72,554.99,523.54,37.61M,-3.97%
674,"Oct 31, 2010",547.66,555.24,557.17,526.34,46.84M,0.86%
675,"Oct 24, 2010",542.98,538.89,549.79,532.25,55.99M,1.34%
676,"Oct 17, 2010",535.82,516.23,541.76,511.77,53.50M,3.98%
677,"Oct 10, 2010",515.29,523.04,535.67,512.94,46.04M,-0.89%
678,"Oct 03, 2010",519.90,502.71,522.92,499.76,57.53M,4.14%
679,"Sep 26, 2010",499.22,499.27,505.16,484.46,47.08M,0.62%
680,"Sep 19, 2010",496.12,509.67,519.33,491.39,56.92M,-2.50%
681,"Sep 12, 2010",508.85,481.44,510.86,478.14,60.46M,7.18%
682,"Sep 05, 2010",474.77,461.10,480.30,456.82,38.79M,3.55%
683,"Aug 29, 2010",458.50,471.58,477.87,453.20,54.71M,-2.52%
684,"Aug 22, 2010",470.34,491.37,491.37,468.83,47.81M,-3.95%
685,"Aug 15, 2010",489.68,485.40,492.04,474.68,44.00M,0.98%
686,"Aug 08, 2010",484.95,495.31,498.28,480.45,55.19M,-2.10%
687,"Aug 01, 2010",495.35,503.23,510.66,494.56,41.24M,-0.95%
688,"Jul 25, 2010",500.08,526.76,531.78,498.90,64.47M,-4.79%
689,"Jul 18, 2010",525.25,524.08,530.42,518.88,25.91M,-0.23%
690,"Jul 11, 2010",526.48,525.02,542.09,521.09,30.57M,0.50%
691,"Jul 04, 2010",523.86,529.98,535.87,520.57,25.08M,-1.06%
692,"Jun 27, 2010",529.46,531.96,541.84,523.79,44.57M,0.57%
693,"Jun 20, 2010",526.48,525.52,532.35,516.60,34.84M,0.82%
694,"Jun 13, 2010",522.22,522.50,539.78,519.62,48.94M,0.76%
695,"Jun 06, 2010",518.29,502.73,520.49,492.88,37.49M,1.47%
696,"May 30, 2010",510.76,510.24,519.33,496.96,40.12M,-0.53%
